Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Year,Month,CTR
499884,Men 35-44,Market Expansion,30 Days,Twitter,0.06,5363.07,1.9,New York,French,13758,42272,7,Home,2022-07-30,Furnish Fine,2022,7,32.54636638909917
240902,Men 25-34,Brand Awareness,60 Days,Instagram,0.08,12193.26,2.86,Miami,French,32284,97147,1,Technology,2022-10-13,Cyber Circuit,2022,10,33.232112159922586
877604,Men 35-44,Brand Awareness,45 Days,Instagram,0.02,9949.93,3.11,Austin,English,26210,79156,10,Health,2022-11-05,Aura Align,2022,11,33.11182980443681
107796,Women 35-44,Product Launch,60 Days,Instagram,0.04,12061.15,0.03,Los Angeles,Spanish,31924,96078,2,Fashion,2022-02-15,Trend Tailors,2022,2,33.22716959137367
140010,Women 45-60,Market Expansion,60 Days,Facebook,0.05,13305.5,0.46,Las Vegas,French,35122,105553,6,Home,2022-02-08,Domestic Dream,2022,2,33.27427927202448
767738,Men 25-34,Product Launch,45 Days,Instagram,0.08,10519.22,2.48,Los Angeles,English,27765,83762,2,Fashion,2022-12-28,Silk & Style,2022,12,33.14748931496382
648901,Men 18-24,Product Launch,60 Days,Pinterest,0.06,15000.0,0.6184655322985482,Austin,French,23407,77198,1,Technology,2022-02-07,Tech Titans,2022,2,30.32073369776419
272580,All Ages,Market Expansion,45 Days,Pinterest,0.15,11188.5,0.003574945273402,Los Angeles,French,17379,57571,1,Technology,2022-09-21,Cyber Circuit,2022,9,30.187073352903372
926345,Women 25-34,Increase Sales,15 Days,Facebook,0.05,4101.84,6.51,Las Vegas,Spanish,10319,32086,4,Home,2022-11-10,Furnish Fine,2022,11,32.16044380726797
847004,Men 18-24,Brand Awareness,60 Days,Instagram,0.02,12805.48,7.18,Los Angeles,English,33887,101895,6,Health,2022-02-04,Well Wish,2022,2,33.25678394425634
717894,Women 18-24,Increase Sales,15 Days,Twitter,0.07,2763.95,4.22,New York,French,6769,21571,2,Health,2022-06-14,Wellness Waves,2022,6,31.38009364424459
608008,Women 35-44,Product Launch,30 Days,Facebook,0.07,4979.96,4.22,Austin,French,12715,39181,6,Technology,2022-02-18,Tech Titans,2022,2,32.451953753094614
683672,Men 35-44,Product Launch,30 Days,Twitter,0.14,6144.87,7.44,New York,Spanish,15892,48592,9,Food,2022-08-24,Gastronomy Guild,2022,8,32.704972011853805
172981,All Ages,Market Expansion,45 Days,Twitter,0.07,10579.97,4.02,Los Angeles,French,27933,84257,9,Home,2022-07-14,Dwell Delight,2022,7,33.15214166182038
264584,Men 25-34,Brand Awareness,30 Days,Instagram,0.08,4171.69,7.66,Las Vegas,Spanish,10512,32657,2,Fashion,2022-04-05,Vogue Visions,2022,4,32.18911718773923
200079,Women 35-44,Market Expansion,45 Days,Instagram,0.11,10306.78,6.88,New York,French,27184,82040,3,Fashion,2022-06-30,Trend Tailors,2022,6,33.13505607020966
170845,Women 25-34,Increase Sales,15 Days,Facebook,0.04,3497.84,7.94,Miami,Spanish,8681,27232,6,Home,2022-05-04,Furnish Fine,2022,5,31.877937720329026
278377,All Ages,Market Expansion,60 Days,Instagram,0.02,14169.26,5.56,Las Vegas,English,37018,111168,5,Technology,2022-11-21,Silicon Saga,2022,11,33.2991508347726
181838,Women 25-34,Brand Awareness,15 Days,Pinterest,0.05,3597.5,0.8687117014366891,Austin,French,5257,18100,1,Fashion,2022-12-09,Silk & Style,2022,12,29.044198895027623
800832,Men 25-34,Increase Sales,60 Days,Twitter,0.08,15000.0,7.63,Los Angeles,French,39450,118370,6,Health,2022-08-31,Aura Align,2022,8,33.32770127566106
936431,Women 25-34,Market Expansion,15 Days,Pinterest,0.08,1646.0,0.1304855024791734,New York,French,2411,8833,1,Fashion,2022-04-19,Glam Garments,2022,4,27.29536963659006
242789,Women 35-44,Product Launch,45 Days,Twitter,0.06,10346.33,0.3,Los Angeles,French,27294,82365,7,Home,2022-07-02,Hearth Harmony,2022,7,33.13786195592788
242394,Women 35-44,Increase Sales,60 Days,Instagram,0.04,13391.74,7.22,Miami,English,35326,106157,10,Home,2022-10-06,Decor Dreams,2022,10,33.27712727375491
824918,Women 35-44,Increase Sales,60 Days,Facebook,0.06,15000.0,0.29,Los Angeles,Spanish,39665,119007,6,Food,2022-05-15,Feast Flavors,2022,5,33.329972186510034
476855,Men 18-24,Increase Sales,30 Days,Facebook,0.12,7172.75,6.38,New York,Spanish,18668,56814,9,Home,2022-04-29,Space Spruce,2022,4,32.85809835603901
904841,Women 35-44,Product Launch,15 Days,Twitter,0.12,2763.96,3.69,Los Angeles,French,6770,21572,7,Health,2022-06-25,Balance Beam,2022,6,31.38327461524198
254502,Men 35-44,Increase Sales,15 Days,Facebook,0.06,1285.22,4.06,Las Vegas,English,3384,11545,9,Fashion,2022-08-12,Fiber Fashion,2022,8,29.31139021221308
577122,Women 18-24,Product Launch,30 Days,Pinterest,0.12,5048.26,0.2180716616775227,New York,French,7576,25651,1,Home,2022-03-24,Cozy Corners,2022,3,29.53491091965226
681154,Men 45-60,Increase Sales,15 Days,Twitter,0.11,3789.47,3.13,Miami,French,9468,29565,10,Home,2022-01-12,Space Spruce,2022,1,32.02435312024353
563574,Men 35-44,Increase Sales,15 Days,Pinterest,0.12,2339.07,0.2681208955051509,New York,English,3359,11919,1,Health,2022-01-08,Elixir Essence,2022,1,28.181894454232737
557059,Women 25-34,Increase Sales,15 Days,Twitter,0.13,4062.11,5.03,Los Angeles,English,10206,31751,8,Health,2022-02-15,Heal Hub,2022,2,32.143869484425686
684627,Men 45-60,Market Expansion,30 Days,Twitter,0.05,6953.6,1.82,Los Angeles,Spanish,18071,55048,2,Health,2022-01-07,Vigor Valley,2022,1,32.82771399505886
751552,Women 18-24,Increase Sales,15 Days,Facebook,0.07,1851.04,5.23,Las Vegas,Spanish,4550,14997,2,Fashion,2022-05-19,Chic Couture,2022,5,30.33940121357605
259713,Men 35-44,Product Launch,15 Days,Instagram,0.08,3296.33,7.1,Miami,Spanish,8149,25657,4,Technology,2022-01-21,Silicon Saga,2022,1,31.76131270218654
482153,Men 35-44,Product Launch,30 Days,Facebook,0.12,6641.43,5.44,Los Angeles,French,17218,52521,7,Health,2022-09-30,Balance Beam,2022,9,32.78307724529236
784544,Women 35-44,Product Launch,30 Days,Facebook,0.06,7739.13,0.76,Austin,English,20202,61358,5,Home,2022-01-24,Nest Neat,2022,1,32.92480198181166
679250,Men 25-34,Market Expansion,15 Days,Instagram,0.14,1671.35,1.92,Los Angeles,English,4161,13845,7,Health,2022-06-01,Aura Align,2022,6,30.054171180931743
127296,Women 45-60,Product Launch,60 Days,Pinterest,0.1,13831.03,0.4772551939991686,Austin,French,21327,70426,1,Health,2022-11-14,Well Wish,2022,11,30.28285008377588
778491,Men 45-60,Increase Sales,30 Days,Pinterest,0.08,6032.62,1.163644686492355,Las Vegas,Spanish,9157,30797,1,Food,2022-09-27,Dine Divine,2022,9,29.733415592427836
510556,All Ages,Brand Awareness,45 Days,Pinterest,0.07,9724.8,0.3163826566960781,New York,English,15039,49953,1,Health,2022-05-02,Balance Beam,2022,5,30.10629992192661
975992,Women 35-44,Market Expansion,45 Days,Facebook,0.06,11134.04,3.37,Austin,English,29442,88727,10,Food,2022-06-28,Gourmet Grove,2022,6,33.18268396316792
329471,Women 45-60,Increase Sales,15 Days,Twitter,0.04,3743.38,0.84,Los Angeles,Spanish,9343,29194,5,Food,2022-05-27,Savor Street,2022,5,32.00315133246557
695897,Women 25-34,Brand Awareness,30 Days,Pinterest,0.11,4553.08,0.9062486268074104,Austin,Spanish,6785,23077,1,Health,2022-03-20,Fitness Front,2022,3,29.401568661437793
580870,Men 35-44,Product Launch,60 Days,Facebook,0.08,12833.42,0.97,New York,Spanish,33959,102107,10,Home,2022-10-31,Furnish Fine,2022,10,33.25824869989325
718821,Men 18-24,Market Expansion,30 Days,Facebook,0.13,7341.46,2.05,Miami,French,19114,58137,9,Home,2022-03-01,Domestic Dream,2022,3,32.87751345958684
457751,Women 25-34,Brand Awareness,45 Days,Pinterest,0.02,7841.99,1.1582822685822525,Miami,French,12029,40148,1,Health,2022-04-16,Wellness Waves,2022,4,29.961641924877952
500084,Men 35-44,Brand Awareness,30 Days,Facebook,0.13,6543.07,7.34,Austin,Spanish,16960,51755,4,Fashion,2022-10-24,Trend Tailors,2022,10,32.76978069751715
625983,Men 25-34,Brand Awareness,60 Days,Twitter,0.11,13927.37,5.16,Miami,English,36517,109685,10,Health,2022-11-22,Elixir Essence,2022,11,33.29261065779277
933768,Men 45-60,Brand Awareness,45 Days,Facebook,0.04,10266.21,2.46,Austin,Spanish,27077,81722,4,Food,2022-06-13,Epicurean Edge,2022,6,33.13306086488338
160563,Men 45-60,Increase Sales,30 Days,Twitter,0.1,5302.23,1.18,Miami,English,13602,41809,3,Fashion,2022-02-19,Silk & Style,2022,2,32.53366500035877
283484,Women 18-24,Market Expansion,15 Days,Pinterest,0.12,1501.79,0.6631523482160734,New York,English,2237,8266,1,Health,2022-04-15,Well Wish,2022,4,27.062666344060005
612114,Women 45-60,Increase Sales,15 Days,Instagram,0.07,500.0,7.25,Miami,English,1501,5965,10,Fashion,2022-04-20,Chic Couture,2022,4,25.163453478625314
909389,Men 18-24,Brand Awareness,30 Days,Twitter,0.1,4559.79,0.92,Austin,Spanish,11572,35797,10,Fashion,2022-03-17,Vogue Visions,2022,3,32.32673129033159
988385,Women 18-24,Product Launch,30 Days,Facebook,0.09,4558.64,5.13,Los Angeles,French,11569,35787,8,Home,2022-07-15,Cozy Corners,2022,7,32.32738145136502
727647,Women 35-44,Product Launch,45 Days,Facebook,0.01,7813.24,1.42,New York,English,20405,61959,1,Technology,2022-01-29,Pixel Pioneers,2022,1,32.933068642166596
304012,All Ages,Market Expansion,60 Days,Facebook,0.11,15000.0,5.98,Austin,English,39220,117691,8,Home,2022-11-01,Dwell Delight,2022,11,33.32455327935016
786964,Men 45-60,Increase Sales,30 Days,Instagram,0.14,4781.76,2.68,New York,Spanish,12178,37590,3,Technology,2022-09-24,Pixel Pioneers,2022,9,32.396914072891725
397320,Men 35-44,Product Launch,30 Days,Instagram,0.04,5324.62,7.0,Los Angeles,French,13657,41973,7,Fashion,2022-11-25,Silk & Style,2022,11,32.53758368474972
763652,Men 35-44,Brand Awareness,15 Days,Instagram,0.15,723.65,5.17,Austin,Spanish,2401,8632,5,Technology,2022-11-30,NexGen Nerds,2022,11,27.81510658016682
666077,Women 18-24,Increase Sales,45 Days,Instagram,0.12,8343.74,7.9,Las Vegas,English,21859,66266,10,Technology,2022-12-30,Quantum Quirks,2022,12,32.98675036972203
655976,All Ages,Brand Awareness,45 Days,Instagram,0.04,8410.53,3.03,Los Angeles,English,22044,66816,3,Food,2022-02-18,Savor Street,2022,2,32.992097701149426
615501,Women 45-60,Brand Awareness,15 Days,Pinterest,0.03,2838.42,0.0411118706441231,New York,French,4084,14280,1,Fashion,2022-10-13,Style Sphere,2022,10,28.599439775910362
171733,Women 18-24,Brand Awareness,30 Days,Instagram,0.03,4393.69,4.16,Austin,French,11118,34451,4,Food,2022-12-14,Gourmet Grove,2022,12,32.271922440567764
423070,Women 45-60,Product Launch,60 Days,Instagram,0.11,13957.09,2.3,Las Vegas,Spanish,36578,109866,9,Food,2022-01-21,Savor Street,2022,1,33.29328454662953
979317,All Ages,Market Expansion,15 Days,Instagram,0.05,3632.18,1.74,New York,English,9042,28301,9,Food,2022-12-19,Culinary Quest,2022,12,31.94940108123388
391501,Men 25-34,Product Launch,45 Days,Twitter,0.12,8079.21,5.82,Los Angeles,Spanish,21131,64111,10,Fashion,2022-06-23,Fiber Fashion,2022,6,32.960022461044126
158246,Men 35-44,Brand Awareness,60 Days,Pinterest,0.09,15000.0,0.7650382885080308,New York,English,23183,76467,1,Health,2022-11-02,Vigor Valley,2022,11,30.317653366811825
324616,Men 18-24,Market Expansion,45 Days,Instagram,0.02,9788.21,4.56,Los Angeles,French,25784,77894,8,Technology,2022-10-26,Tech Titans,2022,10,33.10139420237759
837526,Men 25-34,Market Expansion,30 Days,Facebook,0.11,6237.82,6.16,Miami,Spanish,16137,49318,10,Fashion,2022-04-04,Silk & Style,2022,4,32.720304959649624
776545,Women 25-34,Product Launch,30 Days,Twitter,0.07,5075.03,7.27,Austin,Spanish,12975,39951,3,Technology,2022-07-05,Gadget Giants,2022,7,32.477284673725315
360935,Men 25-34,Brand Awareness,60 Days,Facebook,0.05,12716.23,3.06,Austin,Spanish,33649,101188,6,Food,2022-02-28,Dine Divine,2022,2,33.25394315531486
185108,Women 18-24,Brand Awareness,15 Days,Pinterest,0.06,3409.08,1.412103382993795,Las Vegas,Spanish,4962,17140,1,Technology,2022-04-22,Pixel Pioneers,2022,4,28.94982497082847
841055,Men 45-60,Increase Sales,60 Days,Twitter,0.09,14646.49,2.28,Miami,Spanish,37885,113736,8,Fashion,2022-04-06,Fiber Fashion,2022,4,33.309594147851165
210557,Women 25-34,Brand Awareness,45 Days,Pinterest,0.14,9984.16,1.0206468755562743,Los Angeles,English,15450,51288,1,Food,2022-10-08,Palate Paradise,2022,10,30.12400561534862
881604,Women 18-24,Market Expansion,30 Days,Twitter,0.03,5942.73,5.41,New York,Spanish,15349,46983,6,Home,2022-08-29,Hearth Harmony,2022,8,32.669263350573615
408828,Women 18-24,Market Expansion,30 Days,Instagram,0.11,4205.19,0.65,Las Vegas,English,10602,32923,8,Fashion,2022-02-20,Trend Tailors,2022,2,32.20241168787778
158095,Men 25-34,Brand Awareness,15 Days,Facebook,0.03,1252.65,7.05,Las Vegas,Spanish,3322,11359,9,Health,2022-01-08,Vigor Valley,2022,1,29.24553217712827
937349,Men 45-60,Increase Sales,15 Days,Facebook,0.07,967.85,6.18,Miami,Spanish,2799,9812,9,Food,2022-02-07,Nosh Nirvana,2022,2,28.52629433346922
144687,Women 35-44,Brand Awareness,60 Days,Instagram,0.09,11417.09,4.84,Miami,French,30213,91012,10,Home,2022-05-02,Space Spruce,2022,5,33.19672131147541
696842,Men 45-60,Market Expansion,30 Days,Pinterest,0.05,4351.31,1.3388170048890538,Los Angeles,Spanish,6461,22020,1,Fashion,2022-12-20,Attire Artistry,2022,12,29.341507720254313
782378,All Ages,Product Launch,60 Days,Pinterest,0.15,13015.42,0.8061501591521538,Austin,English,20214,66800,1,Food,2022-12-13,Bistro Bliss,2022,12,30.260479041916167
320017,Men 45-60,Product Launch,60 Days,Pinterest,0.05,13752.83,0.4611679402688596,Las Vegas,English,21228,70104,1,Home,2022-10-24,Cozy Corners,2022,10,30.28072577884286
224929,Men 45-60,Increase Sales,45 Days,Instagram,0.12,7940.22,6.51,Las Vegas,French,20750,62982,3,Technology,2022-06-09,Silicon Saga,2022,6,32.94592105680989
244316,Women 45-60,Product Launch,30 Days,Pinterest,0.13,4955.77,0.5237294825533949,Miami,Spanish,7428,25169,1,Technology,2022-11-24,Code Crafters,2022,11,29.512495530215745
678831,Women 35-44,Product Launch,45 Days,Twitter,0.05,10531.85,1.97,Las Vegas,French,27798,83858,4,Technology,2022-05-03,NexGen Nerds,2022,5,33.14889455985118
673672,Men 45-60,Market Expansion,60 Days,Twitter,0.15,12323.18,5.68,Miami,Spanish,32620,98142,10,Fashion,2022-04-18,Fiber Fashion,2022,4,33.237553748649916
851960,Men 45-60,Brand Awareness,60 Days,Pinterest,0.01,15000.0,1.2512308456907044,Las Vegas,English,22636,74689,1,Home,2022-08-27,Furnish Fine,2022,8,30.307006386482616
429756,Men 18-24,Increase Sales,45 Days,Instagram,0.11,9532.08,0.34,New York,Spanish,25069,75774,2,Health,2022-01-28,Elixir Essence,2022,1,33.083907408873756
659273,Women 35-44,Increase Sales,15 Days,Twitter,0.08,2786.77,6.29,Miami,English,6820,21722,6,Home,2022-11-15,Decor Dreams,2022,11,31.396740631617714
514943,Women 25-34,Brand Awareness,45 Days,Instagram,0.14,10782.95,2.29,Miami,English,28481,85883,7,Fashion,2022-05-02,Runway Rebels,2022,5,33.1625583642863
789119,Women 25-34,Product Launch,60 Days,Twitter,0.07,15000.0,0.7,Los Angeles,Spanish,39220,117689,6,Health,2022-04-20,Well Wish,2022,4,33.32511959486443
486404,Men 18-24,Increase Sales,30 Days,Twitter,0.13,6862.64,5.03,Los Angeles,French,17824,54314,3,Health,2022-11-21,Balance Beam,2022,11,32.81658504253047
785397,Women 18-24,Product Launch,45 Days,Pinterest,0.13,10277.88,1.2816178805146214,Las Vegas,Spanish,15918,52814,1,Technology,2022-05-28,Code Crafters,2022,5,30.13973567614648
638028,All Ages,Increase Sales,60 Days,Pinterest,0.09,12083.88,0.3306824377896862,Austin,French,18788,62157,1,Health,2022-05-28,Heal Hub,2022,5,30.226684042022622
893586,Women 35-44,Brand Awareness,30 Days,Twitter,0.03,4972.13,3.02,New York,Spanish,12693,39118,1,Technology,2022-02-17,Code Crafters,2022,2,32.44797791298124
741158,All Ages,Increase Sales,60 Days,Pinterest,0.03,13608.15,0.6560024576692693,Miami,French,21045,69508,1,Technology,2022-02-20,Giga Geeks,2022,2,30.277090406859642
417616,All Ages,Brand Awareness,60 Days,Instagram,0.12,13096.7,4.3,Los Angeles,French,34616,104052,7,Food,2022-03-16,Savor Street,2022,3,33.267981393918426
905285,All Ages,Market Expansion,60 Days,Instagram,0.12,13437.61,1.69,Miami,English,35434,106478,1,Technology,2022-07-08,Cyber Circuit,2022,7,33.27823587971224
348710,Women 35-44,Product Launch,60 Days,Facebook,0.12,11583.71,3.3,Austin,English,30670,92366,8,Food,2022-05-02,Culinary Quest,2022,5,33.204858930775394
455900,Women 18-24,Brand Awareness,60 Days,Instagram,0.03,13213.75,5.1,New York,Spanish,34904,104908,9,Technology,2022-11-26,Gadget Giants,2022,11,33.2710565447821
144049,Women 45-60,Product Launch,30 Days,Instagram,0.13,4560.63,5.63,Los Angeles,Spanish,11575,35805,4,Food,2022-11-28,Gourmet Grove,2022,11,32.32788716659684
633738,Women 45-60,Product Launch,15 Days,Instagram,0.09,1876.08,0.51,New York,French,4606,15163,5,Health,2022-04-21,Elixir Essence,2022,4,30.376574556486187
842883,Men 35-44,Increase Sales,30 Days,Facebook,0.05,5677.93,4.34,New York,English,14621,44829,6,Technology,2022-08-19,Innovate Infinity,2022,8,32.615048294630704
641383,Men 25-34,Market Expansion,45 Days,Twitter,0.01,9823.71,5.21,Las Vegas,French,25885,78191,9,Technology,2022-12-22,Code Crafters,2022,12,33.104833037050305
539528,Men 45-60,Increase Sales,15 Days,Facebook,0.08,1687.96,5.97,New York,French,4197,13952,10,Food,2022-07-08,Savor Street,2022,7,30.081708715596328
517605,Women 18-24,Product Launch,30 Days,Twitter,0.1,6239.3,1.44,New York,French,16140,49327,4,Health,2022-02-27,Wellness Waves,2022,2,32.72041681026619
201973,Men 45-60,Product Launch,15 Days,Instagram,0.12,500.0,2.96,New York,French,783,3839,2,Fashion,2022-05-29,Mode Maven,2022,5,20.395936441781714
314881,Women 18-24,Increase Sales,60 Days,Pinterest,0.05,14914.78,1.3441794227991566,New York,French,22489,74210,1,Technology,2022-08-20,Tech Titans,2022,8,30.304541166958632
462439,Women 45-60,Product Launch,60 Days,Instagram,0.14,12584.92,1.42,New York,Spanish,33307,100176,5,Health,2022-11-17,Vigor Valley,2022,11,33.24848267049992
532066,Men 18-24,Product Launch,30 Days,Pinterest,0.14,7152.18,0.575566189017724,New York,French,10929,36569,1,Food,2022-09-09,Gourmet Grove,2022,9,29.885968990128255
357920,Men 25-34,Market Expansion,15 Days,Pinterest,0.13,2694.81,1.3280921690688476,New York,Spanish,3873,13592,1,Health,2022-05-19,Heal Hub,2022,5,28.494702766333134
235203,Men 35-44,Brand Awareness,15 Days,Twitter,0.08,1819.81,3.77,Los Angeles,Spanish,4480,14790,4,Food,2022-10-05,Bistro Bliss,2022,10,30.29073698444895
386572,Women 18-24,Product Launch,45 Days,Instagram,0.07,8975.69,1.31,New York,Spanish,23560,71306,4,Health,2022-06-29,Fitness Front,2022,6,33.040697837489134
316174,All Ages,Market Expansion,15 Days,Pinterest,0.01,2920.54,1.3727789849863727,New York,English,4212,14696,1,Technology,2022-09-13,Tech Titans,2022,9,28.660860097985847
143985,All Ages,Brand Awareness,15 Days,Instagram,0.14,3957.13,5.82,New York,Spanish,9923,30912,8,Food,2022-08-09,Feast Flavors,2022,8,32.10080227743271
942810,Men 35-44,Increase Sales,45 Days,Twitter,0.02,11135.25,7.95,Los Angeles,English,29446,88739,5,Technology,2022-12-04,Cyber Circuit,2022,12,33.18270433518521
225343,Women 25-34,Market Expansion,15 Days,Twitter,0.08,2157.4,0.04,Los Angeles,French,5276,17148,2,Health,2022-04-05,Wellness Waves,2022,4,30.767436435735945
839865,Women 18-24,Product Launch,15 Days,Facebook,0.06,3689.65,3.41,Las Vegas,Spanish,9196,28760,2,Health,2022-04-15,Fitness Front,2022,4,31.9749652294854
101080,Women 18-24,Market Expansion,60 Days,Twitter,0.13,12757.29,3.07,New York,French,33760,101517,10,Technology,2022-05-07,Quantum Quirks,2022,5,33.25551385482235
307500,All Ages,Brand Awareness,15 Days,Instagram,0.15,1479.24,3.65,Miami,French,3763,12665,1,Home,2022-04-30,Decor Dreams,2022,4,29.711804184761153
377933,Women 45-60,Increase Sales,60 Days,Pinterest,0.08,15000.0,0.9831099501855536,Las Vegas,Spanish,23440,77307,1,Health,2022-12-06,Aura Align,2022,12,30.320669538334172
611545,Men 18-24,Brand Awareness,30 Days,Facebook,0.03,5101.7,5.16,Las Vegas,French,13054,40186,5,Fashion,2022-12-15,Silk & Style,2022,12,32.48394963420097
479481,Women 35-44,Brand Awareness,15 Days,Facebook,0.02,2696.71,3.23,Miami,French,6600,21069,4,Technology,2022-12-13,NexGen Nerds,2022,12,31.325644311547773
684933,Men 45-60,Increase Sales,30 Days,Twitter,0.13,4904.92,1.59,Las Vegas,Spanish,12513,38583,8,Fashion,2022-09-24,Chic Couture,2022,9,32.43138169660213
431826,Women 25-34,Increase Sales,15 Days,Instagram,0.02,500.0,7.48,New York,French,1216,5123,5,Food,2022-10-08,Epicurean Edge,2022,10,23.73609213351552
875373,Women 25-34,Product Launch,60 Days,Instagram,0.11,13885.79,2.86,Austin,Spanish,36428,109421,9,Fashion,2022-11-27,Runway Rebels,2022,11,33.29159850485738
605692,All Ages,Product Launch,15 Days,Instagram,0.14,2564.95,6.43,New York,Spanish,6268,20086,1,Home,2022-01-26,Nest Neat,2022,1,31.205814995519265
344973,Men 25-34,Increase Sales,45 Days,Facebook,0.15,11005.77,3.17,Miami,Spanish,29082,87662,6,Technology,2022-09-23,Innovate Infinity,2022,9,33.175150007985216
834862,Men 45-60,Market Expansion,30 Days,Pinterest,0.11,5346.81,0.1018859402919573,Miami,English,8055,27210,1,Home,2022-11-10,Dwell Delight,2022,11,29.60308710033076
925419,Men 18-24,Brand Awareness,60 Days,Instagram,0.12,13082.96,0.81,Los Angeles,French,34585,103961,5,Technology,2022-03-21,Cyber Circuit,2022,3,33.26728292340397
247388,Women 18-24,Product Launch,30 Days,Twitter,0.05,6390.56,4.53,Los Angeles,Spanish,16556,50560,8,Fashion,2022-12-21,Fiber Fashion,2022,12,32.745253164556964
176863,Women 45-60,Increase Sales,45 Days,Twitter,0.03,10803.75,0.4,Miami,Spanish,28538,86050,7,Food,2022-02-14,Bistro Bliss,2022,2,33.16443927948867
682579,Men 25-34,Market Expansion,45 Days,Twitter,0.11,10178.46,0.34,Los Angeles,Spanish,26840,81022,7,Home,2022-10-07,Homely Haven,2022,10,33.12680506529091
979015,All Ages,Brand Awareness,60 Days,Facebook,0.13,11584.98,2.65,New York,French,30675,92379,4,Technology,2022-12-17,NexGen Nerds,2022,12,33.205598675023545
419762,Men 18-24,Brand Awareness,60 Days,Facebook,0.15,14991.15,6.06,Las Vegas,English,38398,115257,7,Fashion,2022-10-17,Style Sphere,2022,10,33.31511318184579
361144,All Ages,Product Launch,45 Days,Facebook,0.04,10811.68,3.71,Miami,Spanish,28560,86116,6,Food,2022-06-25,Palate Paradise,2022,6,33.1645687212597
910806,All Ages,Market Expansion,45 Days,Pinterest,0.06,9041.47,0.9652352238185434,Miami,French,13940,46373,1,Health,2022-04-18,Fitness Front,2022,4,30.0605956052013
662548,Men 25-34,Market Expansion,30 Days,Instagram,0.05,6208.54,0.47,Las Vegas,English,16059,49088,1,Fashion,2022-10-05,Mode Maven,2022,10,32.714716427640155
938596,All Ages,Brand Awareness,45 Days,Facebook,0.1,10612.61,0.41,Las Vegas,Spanish,28021,84519,4,Health,2022-12-12,Vital Vigor,2022,12,33.153492114199175
816248,Women 25-34,Market Expansion,45 Days,Facebook,0.03,11232.55,4.46,New York,French,29717,89543,4,Food,2022-06-19,Gastronomy Guild,2022,6,33.187407167506116
559745,Men 45-60,Market Expansion,15 Days,Facebook,0.05,2493.95,2.31,New York,French,6094,19572,6,Food,2022-04-10,Gourmet Grove,2022,4,31.136317187819333
735939,All Ages,Product Launch,45 Days,Facebook,0.13,11322.58,7.16,Los Angeles,French,29957,90254,5,Home,2022-02-05,Dwell Delight,2022,2,33.19188069226849
975235,All Ages,Brand Awareness,30 Days,Pinterest,0.13,7372.25,0.7114141094070006,Austin,Spanish,11273,37690,1,Fashion,2022-11-07,Mode Maven,2022,11,29.909790395330326
